rank,trend,season,episode,name,start,total_votes,average_rating
81933.00,1,1,526,Kaitei Kazan Funka! Nagasarete Gyojintou,2011,118,7.6
80623.00,1,1,527,Gyojintou Jouriku: Uruwashiki Ningyo-tachi,2011,118,7.7
83007.00,1,1,528,Koufun Bakuhatsu! Sanji Seimei no Kiki!,2011,122,7.4
83083.00,2,1,529,Gyojintou Metsubou!? Sharley no Yogen,2011,125,7.3
82483.00,-,1,530,Gyojintou no Ou: Kaishin Neptune!,2012,120,7.5
85841.00,-,1,531,Ryuuguujou! Tasuketa Same ni Tsurerarete,2012,122,7.2
83478.00,-,1,532,Yowamushi de Nakimushi! Koukakutou no Ningyo Hime,2012,121,7.4
85282.00,-,1,533,Kinkyuu Jitai Hassei: Senkyo Sareta Ryuuguujou,2012,120,7.3
77939.00,-,1,534,Ryuuguujou Gekishin! Shirahoshi Yuukai Jiken,2012,128,7.6
83863.00,1,1,535,Hody Shuurai: Fukushuu Keikaku no Hajimari,2012,120,7.4
79794.00,-,1,536,Ryuuguujou no Kessen! Zoro Tai Hody,2012,120,7.7
80198.00,-,1,537,Shirahoshi o Mamore: Decken no Tsuigeki,2012,119,7.7
81578.00,-,1,538,Ichimi Haiboku!? Hody Ryuuguujou Seiatsu,2012,119,7.6
83479.00,-,1,539,Yomigaeru Innen! Nami to Gyojin Kaizokudan!,2012,121,7.4
77503.00,-,1,540,Dorei Kaihou no Eiyuu: Boukenka Tiger,2012,129,7.6
76890.00,-,1,541,Kizaru Toujou! Tiger o Nerau Wana!,2012,124,7.8
103661.00,-,1,542,Team Kessei! Chopper o Sukue,2012,115,6.3
76134.00,1,1,543,Eiyuu no Saigo: Tiger Shougeki no Shinjitsu,2012,126,7.8
82579.00,-,1,544,Kaizokudan Bunretsu: Jinbe Tai Arlong,2012,123,7.4
84866.00,-,1,545,Yureru Gyojintou! Hyouchaku Shita Tenryuubito,2012,121,7.3
79401.00,-,1,546,Totsuzen no Higeki! Mirai o Tozasu Kyoudan,2012,121,7.7
82826.00,-,1,547,Futatabi Genzai e! Ugokidasu Hody,2012,116,7.6
82827.00,1,1,548,Oukoku Gekishin: Neptune Shokei Shirei,2012,116,7.6
81031.00,1,1,549,Shoujita Kiretsu! Luffy Tai Jinbe,2012,117,7.7
87952.00,1,1,550,Hody no Ihen: Kyouyaku no Shin no Chikara!,2012,117,7.2
88554.00,1,1,551,Kessen Hajimaru: Gyoncorde Hiroba!,2012,119,7.1
85691.00,1,1,552,Shougeki no Kokuhaku: Otohime Ansatsu no Shinjitsu,2012,119,7.3
78176.00,1,1,553,Shirahoshi no Namida! Luffy Tsui ni Toujou,2012,124,7.7
65863.00,1,1,554,Dai Gekitotsu! Mugiwara Ichimi VS 10 Man no Teki,2012,139,8.3
80199.00,-,1,555,Oowaza Sakuretsu! Zoro Sanji Shutsugeki!,2012,119,7.7
82481.00,-,1,556,Hatsu Hirou! Sunny Gou no Himitsu Heiki!,2012,120,7.5
87461.00,-,1,557,Iron Pirate! Franky Shougun Toujou,2012,115,7.3
87101.00,-,1,558,Noah Sekkin! Gyojintou Kaimetsu no Kiki!,2012,119,7.2
90062.00,-,1,559,Isoge Luffy! Shirahoshi Zettaizetsumei,2012,119,7
85394.00,-,1,560,Gekitou Kaishi! Luffy Tai Hody!,2012,123,7.2
83584.00,-,1,561,Dairansen! Ichimi Tai Shin Gyojin Kaizokudan!,2012,124,7.3
93112.00,-,1,562,Luffy Haiboku!? Hody Fukushuu no Toki,2012,119,6.8
91985.00,-,1,563,Shougeki no Jijitsu! Hody no Shoutai!,2012,118,6.9
89491.00,-,1,564,Zero ni! Luffy e no Atsuki Negai!,2012,117,7.1
80296.00,-,1,565,Luffy Konshin no Ichigeki! Red Hawk Sakuretsu,2012,122,7.6
85600.00,-,1,566,Tsui ni Kecchaku! Hody Saishuu Kessen,2012,116,7.4
85697.00,-,1,567,Tomare Noah! Kesshi no Elephant Gatling!,2012,119,7.3
83975.00,-,1,568,Mirai e! Taiyou e to Tsuzuku Michi!,2012,123,7.3
85840.00,-,1,569,Akasareta Himitsu: Kodai Heiki no Shinjitsu,2012,122,7.2
77708.00,-,1,570,Ichimi Kyougaku! Aratanaru Kaigun Gensui!,2012,122,7.8
81120.00,-,1,571,Okashizuki! Yonkou Big Mom,2012,120,7.6
85601.00,-,1,572,Zento Tanan: Shin Sekai ni Machiukeru Wana,2012,116,7.4
86109.00,-,1,573,Tsui ni Shukkou! Sayonara Gyojin-tou,2012,118,7.3
86982.00,-,1,574,Shin Sekai e! Saikyou no Umi o Mezashite,2012,116,7.3
96229.00,-,1,575,Z no Yabou Hen: Chiisana Kyojin Lily!,2012,106,7
94756.00,-,1,576,Z no Yabou Hen: Nazo no Saikyou Gundan Toujou!,2012,109,7
95853.00,-,1,577,Z no Yabou Hen: Kesshi no Dai Dasshutsu Sakusen!,2012,110,6.9
93849.00,-,1,578,Z no Yabou Hen: Luffy VS Shuzo!,2012,121,6.7
81311.00,-,1,579,Jouriku! Moeru Shima Punk Hazard,2013,126,7.4
86673.00,-,1,580,Shakunetsu no Tatakai! Luffy Tai Kyodai Ryuu!,2013,120,7.2
90063.00,-,1,581,Ichimi Souzen! Shougeki no Kubi dake Samurai Toujou!,2013,119,7
87560.00,-,1,582,Kyougaku! Tsui ni Akasareru Shima no Himitsu,2013,118,7.2
90917.00,-,1,583,Kodomo-tachi o Sukue! Ichimi Sentou Kaishi,2013,117,7
86041.00,-,1,584,Kenjutsu Shoubu: Brook Tai Nazo no Doutai Samurai,2013,115,7.4
83349.00,-,1,585,Shichibukai! Trafalgar Law,2013,118,7.5
84165.00,-,1,586,Dai Pinch: Luffy Gokkan no Mizuumi ni Shizumu,2013,116,7.5
78055.00,1,1,587,Gekitotsu! Law VS Smoker Chuujou,2013,118,7.9
84653.00,-,1,588,2 Nenburi no Saikai! Luffy to Law,2013,115,7.5
87855.00,-,1,589,Sekai Saiaku Kyoufu no Kagakusha Caesar,2013,114,7.3
108155.00,-,1,590,Jijou Saikyou Colabo VS Umi no Taishokukan,2013,122,5.9
87456.00,-,1,591,Chopper Gekido Master Hidounaru Jikken,2013,115,7.3
90918.00,-,1,592,Ichimi Massatsu! Densetsu no Koroshiya Raishuu!,2013,117,7
84753.00,-,1,593,Nami o Sukue! Luffy Yukiyama no Tatakai,2013,118,7.4
81118.00,-,1,594,Kessei! Luffy-Law Kaizoku Doumei!,2013,120,7.6
87856.00,-,1,595,Master o Toraero: Kaizoku Doumei Sakusen Kaishi!,2013,114,7.3
87457.00,-,1,596,Zenmetsu no Kiki: Shi no Monster Hirai,2013,115,7.3
82316.00,-,1,597,Dai-Gekisen: Caesar Shin no Nouryoku Hatsudou!,2013,114,7.7
87857.00,-,1,598,Honoo Kirisaku Samurai! Kitsunebi no Kin'emon!,2013,114,7.3
